LocationID,LocationAbbr,Stratification1,Year,yhat,yhat_lower,yhat_upper
29127,MO,Ages 65+ years,2030,1591.56461371289,1580.9491558711404,1601.8031488360662
29129,MO,Ages 65+ years,2030,1564.9739141509224,1520.907485276001,1611.0414761392638
29131,MO,Ages 65+ years,2030,1559.4138772166416,1474.3208727164701,1639.0602375833787
29133,MO,Ages 65+ years,2030,1940.6770840208726,1799.0948140359833,2086.0268211345538
29135,MO,Ages 65+ years,2030,1928.7249754903821,1880.2222779977371,1974.0706473259534
29137,MO,Ages 65+ years,2030,1385.8195672913857,1156.8970820644547,1617.6900936925904
29139,MO,Ages 65+ years,2030,2209.4266932900664,2159.901593206068,2256.8857486630504
29141,MO,Ages 65+ years,2030,1574.6641480776811,1534.683387087372,1615.4265951386299
29143,MO,Ages 65+ years,2030,1877.9067370474106,1728.0702305708783,2017.5552765175432
29145,MO,Ages 65+ years,2030,1651.9322591882885,1623.7514408823047,1675.6858142122198
29147,MO,Ages 65+ years,2030,1293.758695431681,1194.7823478505065,1390.7257723645816
29149,MO,Ages 65+ years,2030,1533.9174584142777,1445.482538131845,1624.139713406861
29151,MO,Ages 65+ years,2030,1075.9007466293003,1028.9533956118237,1126.0218550482602
29153,MO,Ages 65+ years,2030,1326.1380063166077,1273.643274504795,1377.789036978091
29155,MO,Ages 65+ years,2030,2464.2847967274047,2333.6621115424014,2584.71420862727
29157,MO,Ages 65+ years,2030,1548.8986973844321,1487.9064730361706,1614.332445778663
29159,MO,Ages 65+ years,2030,1686.84794447855,1645.7352055681163,1723.0460247411843
29161,MO,Ages 65+ years,2030,1284.191783336988,1247.8997809233838,1323.360017432021
29163,MO,Ages 65+ years,2030,1896.2978203474383,1849.8232913893899,1941.0140926105926
29165,MO,Ages 65+ years,2030,1234.0014570863752,1215.7522537488846,1253.5442818061917
29167,MO,Ages 65+ years,2030,1829.1360626155135,1785.935734826303,1880.5981755152707
29169,MO,Ages 65+ years,2030,1387.304744901436,1336.0407411551826,1447.5409002001713
29171,MO,Ages 65+ years,2030,1335.6756765805062,1290.931101962724,1378.7366329353501
29173,MO,Ages 65+ years,2030,1377.8804185801228,1353.1021379284946,1403.0652938582996
29175,MO,Ages 65+ years,2030,2066.851175305988,2022.7016055542713,2112.5957078922675
29177,MO,Ages 65+ years,2030,1410.985270157555,1306.067888640605,1510.0246840694433
29179,MO,Ages 65+ years,2030,1857.8326983546142,1766.6272632707685,1938.7616750094494
29181,MO,Ages 65+ years,2030,1497.8035842179916,1401.676387371938,1590.935386341742
29183,MO,Ages 65+ years,2030,1150.4529640166406,1062.4524911312378,1238.9728686702865
29185,MO,Ages 65+ years,2030,1386.5069623153706,1328.9584949211878,1443.9285594016658
29186,MO,Ages 65+ years,2030,1427.3424629669628,1391.4797850100717,1462.2470856675188
29187,MO,Ages 65+ years,2030,1491.1222277513282,1458.7299896653533,1523.3320878305183
29189,MO,Ages 65+ years,2030,1531.184916805082,1439.1639331801255,1632.56435235813
29195,MO,Ages 65+ years,2030,1250.5449933097038,1222.602765019889,1279.0146994861338
29197,MO,Ages 65+ years,2030,1564.9739141509224,1524.2955202098353,1609.4083650556022
29199,MO,Ages 65+ years,2030,1564.9739141509224,1521.5839994815458,1606.8329592712905
29201,MO,Ages 65+ years,2030,1742.1740925791871,1620.0540496006392,1872.4647180861912
29203,MO,Ages 65+ years,2030,1646.9317225164966,1558.5548440364507,1726.170316559369
29205,MO,Ages 65+ years,2030,1846.4791160071065,1753.0219059471199,1930.1444634410975
29207,MO,Ages 65+ years,2030,1574.780113688894,1486.7759554365464,1667.8360404617
29209,MO,Ages 65+ years,2030,1569.0206230057915,1509.2023284654344,1632.8252308058986
29211,MO,Ages 65+ years,2030,1701.067782756349,1588.2118570341725,1807.687605055976
29213,MO,Ages 65+ years,2030,1846.429508011806,1787.9077156709948,1898.692042020111
29215,MO,Ages 65+ years,2030,1738.8055304703555,1687.2568043709414,1787.3382391004718
29217,MO,Ages 65+ years,2030,1596.877871418024,1273.458873137118,1892.1793554392939
29219,MO,Ages 65+ years,2030,1079.8485569868349,1053.7727075614011,1104.6233721575138
29221,MO,Ages 65+ years,2030,1979.6050035897417,1923.2702698198668,2035.514204609488
29223,MO,Ages 65+ years,2030,1403.4353657312715,1333.9675039445035,1469.9669876084465
29225,MO,Ages 65+ years,2030,1782.5761269459865,1751.2130929244017,1814.9624236107186
29227,MO,Ages 65+ years,2030,1564.9739141509224,1525.3996017772445,1609.5178082225837
29229,MO,Ages 65+ years,2030,2217.6554847155007,2161.935527141116,2274.8709170108173
29510,MO,Ages 65+ years,2030,1316.989286693728,1135.7859496515232,1519.8242881787287
30001,MT,Ages 65+ years,2030,1360.8976335909258,1313.5061110224128,1401.9351846840912
30003,MT,Ages 65+ years,2030,1625.814284713303,1593.0429826391442,1660.2992392625363
